2026-09-07T14:01:53.801875558Z [err]  [anime-sama-api] Version ignorée (saison1/va): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/uruwashi-no-yoi-no-tsuki/saison1/va/.
2026-09-07T14:01:55.448632796Z [err]  [anime-sama-api] Version ignorée (saison1/vf): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/ushiro-no-shoumen-kamui-san/saison1/vf/.
2026-09-07T14:01:56.858947762Z [err]  [anime-sama-api] Version ignorée (saison1/vo): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/ushiro-no-shoumen-kamui-san/saison1/vo/.
2026-09-07T14:01:56.858952122Z [err]  [anime-sama-api] Version ignorée (saison1/vkr): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/ushiro-no-shoumen-kamui-san/saison1/vkr/.
2026-09-07T14:01:58.263258689Z [err]  [anime-sama-api] Version ignorée (saison1/va): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/ushiro-no-shoumen-kamui-san/saison1/va/.
2026-09-07T14:02:05.379155611Z [err]  [anime-sama-api] Version ignorée (saison1/vf): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/ushiro-no-shoumen-kamui-san/saison1/vf/.
2026-09-07T14:02:06.773411283Z [err]  [anime-sama-api] Version ignorée (saison1/vo): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/ushiro-no-shoumen-kamui-san/saison1/vo/.
2026-09-07T14:02:06.773420893Z [err]  [anime-sama-api] Version ignorée (saison1/vkr): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/ushiro-no-shoumen-kamui-san/saison1/vkr/.
2026-09-07T14:02:08.181633701Z [err]  [anime-sama-api] Version ignorée (saison1/va): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/ushiro-no-shoumen-kamui-san/saison1/va/.
2026-09-07T14:02:11.326402323Z [err]  [anime-sama-api] Version ignorée (saison1/vf): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/utawarerumono/saison1/vf/.
2026-09-07T14:02:12.729586414Z [err]  [anime-sama-api] Version ignorée (saison1/vo): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/utawarerumono/saison1/vo/.
2026-09-07T14:02:12.729592304Z [err]  [anime-sama-api] Version ignorée (saison1/vkr): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/utawarerumono/saison1/vkr/.
2026-09-07T14:02:14.137934692Z [err]  [anime-sama-api] Version ignorée (saison1/va): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/utawarerumono/saison1/va/.
2026-09-07T14:02:15.442470107Z [err]  [anime-sama-api] Version ignorée (saison1/vf): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/ushiro-no-shoumen-kamui-san/saison1/vf/.
2026-09-07T14:02:15.511432709Z [err]  [anime-sama-api] Version ignorée (saison2/vo): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/utawarerumono/saison2/vo/.
2026-09-07T14:02:15.515076649Z [err]  [anime-sama-api] Version ignorée (saison2/vf): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/utawarerumono/saison2/vf/.
2026-09-07T14:02:16.786393558Z [err]  [anime-sama-api] Version ignorée (saison1/vo): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/ushiro-no-shoumen-kamui-san/saison1/vo/.
2026-09-07T14:02:16.786400118Z [err]  [anime-sama-api] Version ignorée (saison1/vkr): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/ushiro-no-shoumen-kamui-san/saison1/vkr/.
2026-09-07T14:02:16.921878702Z [err]  [anime-sama-api] Version ignorée (saison2/vkr): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/utawarerumono/saison2/vkr/.
2026-09-07T14:02:16.939310647Z [err]  [anime-sama-api] Version ignorée (saison2/va): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/utawarerumono/saison2/va/.
2026-09-07T14:02:18.189756418Z [err]  [anime-sama-api] Version ignorée (saison1/va): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/ushiro-no-shoumen-kamui-san/saison1/va/.
2026-09-07T14:02:20.786135624Z [err]  [anime-sama-api] Version ignorée (saison1/vo): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/uzaki-chan-wa-asobitai/saison1/vo/.
2026-09-07T14:02:20.786138284Z [err]  [anime-sama-api] Version ignorée (saison1/vkr): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/uzaki-chan-wa-asobitai/saison1/vkr/.
2026-09-07T14:02:22.220462052Z [err]  [anime-sama-api] Version ignorée (saison1/va): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/uzaki-chan-wa-asobitai/saison1/va/.
2026-09-07T14:02:23.572362489Z [err]  [anime-sama-api] Version ignorée (saison2/vo): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/uzaki-chan-wa-asobitai/saison2/vo/.
2026-09-07T14:02:24.971462456Z [err]  [anime-sama-api] Version ignorée (saison2/vkr): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/uzaki-chan-wa-asobitai/saison2/vkr/.
2026-09-07T14:02:24.989537118Z [err]  [anime-sama-api] Version ignorée (saison2/va): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/uzaki-chan-wa-asobitai/saison2/va/.
2026-09-07T14:02:25.837704224Z [err]  [anime-sama-api] Version ignorée (saison1/vkr): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/uzumaki/saison1/vkr/.
2026-09-07T14:02:25.837711433Z [err]  [anime-sama-api] Version ignorée (saison1/vo): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/uzumaki/saison1/vo/.
2026-09-07T14:02:27.227137173Z [err]  [anime-sama-api] Version ignorée (saison1/va): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/uzumaki/saison1/va/.
2026-09-07T14:02:29.744410125Z [err]  [anime-sama-api] Version ignorée (saison1/vkr): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/ubel-blatt/saison1/vkr/.
2026-09-07T14:02:29.744414245Z [err]  [anime-sama-api] Version ignorée (saison1/vo): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/ubel-blatt/saison1/vo/.
2026-09-07T14:02:30.402145650Z [err]  [anime-sama-api] Version ignorée (saison1/vf): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/ushiro-no-shoumen-kamui-san/saison1/vf/.
2026-09-07T14:02:31.132954583Z [err]  [anime-sama-api] Version ignorée (saison1/va): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/ubel-blatt/saison1/va/.
2026-09-07T14:02:31.797758088Z [err]  [anime-sama-api] Version ignorée (saison1/vo): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/ushiro-no-shoumen-kamui-san/saison1/vo/.
2026-09-07T14:02:31.797765368Z [err]  [anime-sama-api] Version ignorée (saison1/vkr): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/ushiro-no-shoumen-kamui-san/saison1/vkr/.
2026-09-07T14:02:33.194987965Z [err]  [anime-sama-api] Version ignorée (saison1/va): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/ushiro-no-shoumen-kamui-san/saison1/va/.
2026-09-07T14:02:36.281999001Z [err]  [anime-sama-api] Version ignorée (saison1/vostfr): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/valerian-and-laureline/saison1/vostfr/.
2026-09-07T14:02:37.683354335Z [err]  [anime-sama-api] Version ignorée (saison1/vkr): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/valerian-and-laureline/saison1/vkr/.
2026-09-07T14:02:37.683359715Z [err]  [anime-sama-api] Version ignorée (saison1/vo): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/valerian-and-laureline/saison1/vo/.
2026-09-07T14:02:39.068597931Z [err]  [anime-sama-api] Version ignorée (saison1/va): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/valerian-and-laureline/saison1/va/.
2026-09-07T14:02:46.487839906Z [err]  [anime-sama-api] Version ignorée (saison1/vkr): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/valkyrie-apocalypse/saison1/vkr/.
2026-09-07T14:02:46.487842736Z [err]  [anime-sama-api] Version ignorée (saison1/vo): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/valkyrie-apocalypse/saison1/vo/.
2026-09-07T14:02:47.811810540Z [err]  [anime-sama-api] Version ignorée (saison1/va): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/valkyrie-apocalypse/saison1/va/.
2026-09-07T14:02:49.284373471Z [err]  [anime-sama-api] Version ignorée (saison2/vo): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/valkyrie-apocalypse/saison2/vo/.
2026-09-07T14:02:50.678467279Z [err]  [anime-sama-api] Version ignorée (saison2/va): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/valkyrie-apocalypse/saison2/va/.
2026-09-07T14:02:50.678471669Z [err]  [anime-sama-api] Version ignorée (saison2/vkr): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/valkyrie-apocalypse/saison2/vkr/.
2026-09-07T14:02:52.507605268Z [err]  [anime-sama-api] Version ignorée (saison3/vkr): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/valkyrie-apocalypse/saison3/vkr/.
2026-09-07T14:02:52.507614208Z [err]  [anime-sama-api] Version ignorée (saison3/vo): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/valkyrie-apocalypse/saison3/vo/.
2026-09-07T14:02:53.900781673Z [err]  [anime-sama-api] Version ignorée (saison3/va): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/valkyrie-apocalypse/saison3/va/.
2026-09-07T14:02:55.413577686Z [err]  [anime-sama-api] Version ignorée (saison1/vf): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/ushiro-no-shoumen-kamui-san/saison1/vf/.
2026-09-07T14:02:56.804824849Z [err]  [anime-sama-api] Version ignorée (saison1/vo): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/ushiro-no-shoumen-kamui-san/saison1/vo/.
2026-09-07T14:02:56.813280679Z [err]  [anime-sama-api] Version ignorée (saison1/vkr): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/ushiro-no-shoumen-kamui-san/saison1/vkr/.
2026-09-07T14:02:58.229071771Z [err]  [anime-sama-api] Version ignorée (saison1/va): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/ushiro-no-shoumen-kamui-san/saison1/va/.
2026-09-07T14:03:00.440823914Z [err]  [anime-sama-api] Version ignorée (saison1/vf): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/vampire-dormitory/saison1/vf/.
2026-09-07T14:03:01.244541923Z [err]  [anime-sama-api] Version ignorée (saison1/vf): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/vampire-dormitory/saison1/vf/.
